condition,step,returns_mean,episode_length_mean,share_terminated
from-scratch,0,7.949,49.19,1.0
from-scratch,25000,8.316,52.73,1.0
from-scratch,50000,17.262,71.34,1.0
from-scratch,75000,49.265,129.48,0.95
from-scratch,100000,220.271,313.15,0.44
from-scratch,125000,223.743,335.21,0.38
from-scratch,150000,188.939,291.73,0.49
from-scratch,175000,246.732,379.87,0.28
from-scratch,200000,244.412,373.27,0.29
from-scratch,225000,214.736,374.37,0.28
from-scratch,250000,250.569,410.05,0.2
from-scratch,275000,264.988,407.25,0.21
from-scratch,300000,287.259,429.42,0.16
from-scratch,325000,269.225,433.42,0.15
from-scratch,350000,313.77,453.87,0.1
from-scratch,375000,300.427,431.88,0.15
from-scratch,400000,291.272,445.16,0.12
from-scratch,425000,234.698,464.78,0.08
from-scratch,450000,343.684,456.98,0.1
from-scratch,475000,253.443,432.88,0.15
fine-tune,0,253.281,409.07,0.21
fine-tune,25000,240.968,393.27,0.25
fine-tune,50000,47.904,174.13,0.74
fine-tune,75000,128.332,253.36,0.55
fine-tune,100000,248.093,378.44,0.3
fine-tune,125000,206.417,404.74,0.23
fine-tune,150000,229.944,413.49,0.2
fine-tune,175000,279.005,453.33,0.11
fine-tune,200000,245.854,435.89,0.16
fine-tune,225000,223.342,413.09,0.2
fine-tune,250000,259.353,461.31,0.09
fine-tune,275000,278.476,473.81,0.06
fine-tune,300000,284.903,477.18,0.05
fine-tune,325000,304.706,486.16,0.03
fine-tune,350000,312.872,477.25,0.05
fine-tune,375000,281.509,450.43,0.11
fine-tune,400000,245.274,433.74,0.16
fine-tune,425000,276.155,473.45,0.06
fine-tune,450000,281.177,468.56,0.07
fine-tune,475000,269.782,436.4,0.15
