condition,step,returns_mean,episode_length_mean,share_terminated
NODR-source,0,8.512,51.46,1.0
NODR-source,25000,11.108,56.03,1.0
NODR-source,50000,43.226,141.65,0.97
NODR-source,75000,235.16,486.61,0.03
NODR-source,100000,253.541,481.92,0.04
NODR-source,125000,324.064,481.86,0.04
NODR-source,150000,299.463,490.81,0.02
NODR-source,175000,304.506,487.27,0.03
NODR-source,200000,260.132,486.16,0.03
NODR-source,225000,254.548,486.15,0.03
NODR-source,250000,347.562,500.0,0.0
NODR-source,275000,373.923,500.0,0.0
NODR-source,300000,283.991,491.79,0.02
NODR-source,325000,308.008,500.0,0.0
NODR-source,350000,355.628,495.56,0.01
NODR-source,375000,312.244,496.54,0.01
NODR-source,400000,360.494,491.39,0.02
NODR-source,425000,300.012,491.05,0.02
NODR-source,450000,377.994,495.7,0.01
NODR-source,475000,318.349,496.1,0.01
from-scratch,0,8.315,50.69,1.0
from-scratch,25000,10.129,53.96,1.0
from-scratch,50000,22.277,93.34,1.0
from-scratch,75000,235.292,392.72,0.27
from-scratch,100000,309.87,452.83,0.11
from-scratch,125000,320.627,468.67,0.07
from-scratch,150000,298.837,477.24,0.05
from-scratch,175000,241.839,477.69,0.05
from-scratch,200000,374.754,473.14,0.06
from-scratch,225000,355.191,473.0,0.06
from-scratch,250000,376.963,495.63,0.01
from-scratch,275000,316.809,500.0,0.0
from-scratch,300000,317.496,482.88,0.04
from-scratch,325000,359.084,491.74,0.02
from-scratch,350000,327.136,495.45,0.01
from-scratch,375000,271.425,496.25,0.01
from-scratch,400000,270.219,491.21,0.02
from-scratch,425000,394.569,495.69,0.01
from-scratch,450000,331.827,500.0,0.0
from-scratch,475000,327.005,500.0,0.0
fine-tune,0,360.605,495.35,0.01
fine-tune,25000,9.259,55.39,1.0
fine-tune,50000,37.326,147.94,1.0
fine-tune,75000,262.799,415.32,0.2
fine-tune,100000,236.859,450.36,0.11
fine-tune,125000,303.625,473.92,0.06
fine-tune,150000,186.74,463.96,0.08
fine-tune,175000,286.588,478.84,0.05
fine-tune,200000,302.315,481.44,0.04
fine-tune,225000,329.533,463.92,0.08
fine-tune,250000,190.875,477.81,0.05
fine-tune,275000,361.783,495.52,0.01
fine-tune,300000,335.308,486.19,0.03
fine-tune,325000,336.996,491.19,0.02
fine-tune,350000,234.654,491.33,0.02
fine-tune,375000,335.763,484.17,0.04
fine-tune,400000,202.87,475.11,0.06
fine-tune,425000,216.28,495.35,0.01
fine-tune,450000,334.059,491.68,0.02
fine-tune,475000,366.784,491.08,0.02
